StateDesc,CountyName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,TractFIPS20,CountyName20,StateName20,PrimaryRUCA,Population,LandArea,PopDensity
Illinois,Cook,10.6,9.4,12.1,2444,1975,17031160100,17031160100,Cook County,Illinois,1,2444,0.2,10663.1
Illinois,Cook,7.6,6.6,8.8,6388,5976,17031080100,17031080100,Cook County,Illinois,1,6388,0.1,62328.5
Illinois,Champaign,5.3,4.5,6.3,6593,6278,17019000301,17019000301,Champaign County,Illinois,1,6593,0.2,37742.4
Illinois,Cook,13.1,11.6,14.6,4202,3253,17031020100,17031020100,Cook County,Illinois,1,4202,0.2,26469.7
Illinois,Champaign,4.8,4.1,5.7,2161,2073,17019011100,17019011100,Champaign County,Illinois,1,2161,0.4,5223.2
Illinois,Cook,10.1,8.8,11.4,3882,3074,17031150600,17031150600,Cook County,Illinois,1,3882,0.3,15322.3
Illinois,Cook,5.3,4.7,6.0,9843,9232,17031081403,17031081403,Cook County,Illinois,1,9843,0.1,76951.7
Illinois,Cook,4.8,4.2,5.6,1599,1193,17031051100,17031051100,Cook County,Illinois,1,1599,0.1,25453.8
Illinois,Cook,8.4,7.3,9.5,3464,2670,17031140100,17031140100,Cook County,Illinois,1,3464,0.1,31759.0
Illinois,Cook,5.0,4.4,5.8,1673,1389,17031062400,17031062400,Cook County,Illinois,1,1673,0.1,26593.6
Illinois,Cook,14.7,13.2,16.3,2565,2354,17031010503,17031010503,Cook County,Illinois,1,2565,0.1,34206.4
Illinois,Cook,9.2,8.1,10.3,3823,3064,17031150501,17031150501,Cook County,Illinois,1,3823,0.3,14169.5
Illinois,Clinton,10.6,9.0,12.3,6928,5379,17027900300,17027900300,Clinton County,Illinois,7,6928,56.1,123.4
Illinois,Adams,9.8,8.3,11.5,3590,2719,17001000600,17001000600,Adams County,Illinois,4,3590,1.1,3405.1
Illinois,Bureau,13.1,11.1,15.3,3474,2744,17011965200,17011965200,Bureau County,Illinois,4,3474,5.8,603.2
Illinois,Champaign,8.9,7.5,10.4,7271,5484,17019001205,17019001205,Champaign County,Illinois,1,7271,9.2,788.2
Illinois,Cook,5.6,4.8,6.4,2522,2143,17031031900,17031031900,Cook County,Illinois,1,2522,0.1,25350.1
Illinois,Adams,11.3,9.6,13.3,5842,4541,17001010600,17001010600,Adams County,Illinois,5,5842,79.6,73.4
Illinois,Champaign,10.9,9.4,12.7,4313,3389,17019010800,17019010800,Champaign County,Illinois,2,4313,160.0,27.0
Illinois,Cook,17.4,15.4,19.4,2034,1866,17031170100,17031170100,Cook County,Illinois,1,2034,0.4,5192.0
Illinois,Cook,8.0,7.0,9.0,6486,5247,17031140800,17031140800,Cook County,Illinois,1,6486,0.3,23515.5
Illinois,Cook,6.7,5.8,7.6,4171,3912,17031070101,17031070101,Cook County,Illinois,1,4171,0.2,20297.4
Illinois,Cook,6.5,5.7,7.4,1660,1325,17031071700,17031071700,Cook County,Illinois,1,1660,0.1,26879.2
Illinois,Cook,10.5,9.3,11.8,4662,3496,17031020602,17031020602,Cook County,Illinois,1,4662,0.2,24540.4
Illinois,Adams,12.6,10.9,14.6,4644,3762,17001000100,17001000100,Adams County,Illinois,4,4644,5.4,853.8
Illinois,Cook,6.7,5.8,7.6,3129,2493,17031040401,17031040401,Cook County,Illinois,1,3129,0.1,21006.1
Illinois,Cook,13.1,11.7,14.7,7318,5924,17031040202,17031040202,Cook County,Illinois,1,7318,0.2,32197.9
Illinois,Carroll,12.2,10.5,14.1,2548,2261,17015960600,17015960600,Carroll County,Illinois,6,2548,73.4,34.7
Illinois,Cook,11.7,10.3,13.1,7717,5858,17031020702,17031020702,Cook County,Illinois,1,7717,0.3,28377.5
Illinois,Christian,14.1,12.0,16.4,3975,3222,17021958300,17021958300,Christian County,Illinois,4,3975,5.1,782.1
Illinois,Cook,6.5,5.7,7.3,2652,2088,17031071800,17031071800,Cook County,Illinois,1,2652,0.1,21240.8
Illinois,Champaign,9.6,8.2,11.3,4414,3451,17019001203,17019001203,Champaign County,Illinois,1,4414,1.0,4515.9
Illinois,Cook,5.5,4.8,6.2,2568,2070,17031050100,17031050100,Cook County,Illinois,1,2568,0.1,19875.7
Illinois,Cook,9.9,8.7,11.1,5316,4280,17031170500,17031170500,Cook County,Illinois,1,5316,0.6,8943.2
Illinois,Adams,13.4,11.3,15.6,3109,2482,17001001002,17001001002,Adams County,Illinois,4,3109,1.2,2617.2
Illinois,Cook,6.7,5.8,7.6,2671,2027,17031050300,17031050300,Cook County,Illinois,1,2671,0.1,18203.4
Illinois,Boone,13.7,11.7,15.9,4396,3240,17007010101,17007010101,Boone County,Illinois,1,4396,1.9,2322.6
Illinois,Cook,12.6,11.1,14.2,5010,3925,17031020302,17031020302,Cook County,Illinois,1,5010,0.2,20277.3
Illinois,Cook,9.2,8.1,10.4,3769,3232,17031160300,17031160300,Cook County,Illinois,1,3769,0.2,22905.1
Illinois,Coles,8.9,7.6,10.4,2767,2284,17029000702,17029000702,Coles County,Illinois,4,2767,0.5,5540.5
Illinois,Cook,5.8,5.1,6.5,5917,5585,17031081500,17031081500,Cook County,Illinois,1,5917,0.1,53840.7
Illinois,Cook,6.0,5.3,6.9,4225,3954,17031080202,17031080202,Cook County,Illinois,1,4225,0.1,70488.9
Illinois,Cook,13.0,11.4,14.5,6699,4677,17031020601,17031020601,Cook County,Illinois,1,6699,0.2,29341.2
Illinois,Cook,8.2,7.2,9.1,2410,1956,17031160900,17031160900,Cook County,Illinois,1,2410,0.3,9490.0
Illinois,Cook,10.7,9.4,12.1,3300,2670,17031160502,17031160502,Cook County,Illinois,1,3300,0.1,27492.2
Illinois,Cook,11.2,9.8,12.5,3880,3116,17031151200,17031151200,Cook County,Illinois,1,3880,0.3,15328.6
Illinois,Cook,5.5,4.8,6.2,2530,2150,17031040600,17031040600,Cook County,Illinois,1,2530,0.1,19781.1
Illinois,Champaign,8.7,7.4,10.2,1888,1732,17019011002,17019011002,Champaign County,Illinois,1,1888,0.4,4509.8
Illinois,Cook,10.7,9.5,12.1,4681,3724,17031150401,17031150401,Cook County,Illinois,1,4681,0.3,16427.3
Illinois,Cook,4.4,3.8,5.0,6282,5737,17031071500,17031071500,Cook County,Illinois,1,6282,0.3,18161.5
Illinois,Cook,3.5,3.1,4.0,1797,1568,17031061500,17031061500,Cook County,Illinois,1,1797,0.1,28568.7
Illinois,Bureau,12.8,11.0,14.8,4224,3281,17011965100,17011965100,Bureau County,Illinois,4,4224,17.6,239.7
Illinois,Adams,11.6,9.9,13.5,8015,6205,17001001100,17001001100,Adams County,Illinois,4,8015,5.0,1616.7
Illinois,Cass,13.5,11.6,15.6,2251,1772,17017960100,17017960100,Cass County,Illinois,2,2251,118.0,19.1
Illinois,Christian,11.7,10.0,13.5,4796,3748,17021959000,17021959000,Christian County,Illinois,5,4796,189.6,25.3
Illinois,Cook,11.2,9.9,12.6,5648,4525,17031020801,17031020801,Cook County,Illinois,1,5648,0.3,22300.8
Illinois,Cook,5.3,4.6,6.0,2492,1912,17031051400,17031051400,Cook County,Illinois,1,2492,0.1,18638.7
Illinois,Cook,9.1,7.9,10.3,3220,2667,17031110502,17031110502,Cook County,Illinois,1,3220,0.3,12843.7
Illinois,Cook,11.7,10.4,13.1,4060,3204,17031140302,17031140302,Cook County,Illinois,1,4060,0.2,25355.3
Illinois,Cook,10.8,9.5,12.1,4897,3899,17031100600,17031100600,Cook County,Illinois,1,4897,0.5,9889.7
Illinois,Christian,12.0,10.1,14.1,2138,1703,17021958500,17021958500,Christian County,Illinois,4,2138,1.9,1155.3
Illinois,Cook,5.4,4.7,6.3,1406,1019,17031050800,17031050800,Cook County,Illinois,1,1406,0.1,22365.6
Illinois,Cook,11.9,10.5,13.2,6305,5606,17031010300,17031010300,Cook County,Illinois,1,6305,0.2,34559.0
Illinois,Champaign,10.5,8.8,12.4,1559,1330,17019005702,17019005702,Champaign County,Illinois,1,1559,6.3,247.4
Illinois,Cook,7.6,6.7,8.4,3521,3342,17031030104,17031030104,Cook County,Illinois,1,3521,0.0,82469.8
Illinois,Adams,11.4,9.7,13.1,2800,2085,17001010301,17001010301,Adams County,Illinois,5,2800,182.5,15.3
Illinois,Cook,7.8,6.8,8.9,6626,5265,17031090200,17031090200,Cook County,Illinois,1,6626,0.6,11218.3
Illinois,Champaign,16.3,14.2,18.5,2266,1683,17019000200,17019000200,Champaign County,Illinois,1,2266,0.5,4712.8
Illinois,Champaign,9.0,7.6,10.6,7972,5700,17019010603,17019010603,Champaign County,Illinois,2,7972,19.5,408.2
Illinois,Cook,11.4,10.1,12.7,4776,3774,17031010702,17031010702,Cook County,Illinois,1,4776,0.1,34596.1
Illinois,Cook,14.7,13.1,16.3,4488,3689,17031020902,17031020902,Cook County,Illinois,1,4488,0.2,23160.4
Illinois,Cook,3.6,3.1,4.1,3091,2693,17031071100,17031071100,Cook County,Illinois,1,3091,0.1,24598.3
